Time,From Work to Visit,From Visit to Work,Visit to Visit
0,0,0,0.001
30,0.002,0,0.002
100,0.002,0.006,0.002
130,0,0.012,0.002
200,0,0.01,0.002
230,0,0,0
300,0,0.006,0.001
330,0.011,0,0.001
400,0.004,0,0.001
430,0.004,0,0.001
500,0.008,0,0.001
530,0.01,0,0.003
600,0.02,0.006,0.003
630,0.023,0,0.004
700,0.072,0,0.01
730,0.071,0,0.018
800,0.07,0.002,0.023
830,0.033,0.013,0.022
900,0.02,0.026,0.031
930,0.029,0.007,0.029
1000,0.011,0.013,0.034
1030,0.011,0.018,0.038
1100,0.01,0.015,0.035
1130,0.003,0.018,0.032
1200,0.005,0.009,0.03
1230,0.017,0.025,0.034
1300,0.014,0.021,0.028
1330,0.003,0.048,0.027
1400,0.001,0.02,0.019
1430,0.004,0.044,0.014
1500,0,0.052,0.012
1530,0.004,0.041,0.011
1600,0.012,0.018,0.007
1630,0.01,0.022,0.003
1700,0.003,0.012,0.002
1730,0.002,0.002,0.002
1800,0.004,0.007,0.001
1830,0,0.002,0.002
1900,0,0.003,0.001
1930,0,0,0.001
2000,0,0,0.001
2030,0,0.003,0.002
2100,0,0.003,0
2130,0,0,0.002
2200,0,0.006,0
2230,0,0.004,0.002
2300,0,0.004,0.001
2330,0.004,0.003,0
