"distbin","CENTRAL","GrantsPass","NORTHEAST","NORTHWEST","OtherJackson","OtherJosephine","SOUTH","Total"
1,1409.72714401,985.21011266,4114.91753709,3828.18291424,578.3491246,227.60232367,921.6476638,12065.63682007
2,153.32520428,1562.92561004,3428.00176485,2226.64031185,291.04685409,149.74350654,2688.14647051,10499.82972216
3,0,225.97843663,1741.562244,1030.32593748,90.17735737,309.79722228,1028.72649134,4426.5676891
4,995.07787968,808.788630005,877.33070037,1115.1657119,250.06850826,337.58669802,774.8458245,5158.863952735
5,309.62021792,70.13826261,1220.94592692,595.15254265,186.92308814,215.9146907,0,2598.69472894
6,278.2670082,0,541.78489431,479.28656681,148.7673144,499.33944622,0,1947.44522994
7,373.4068771,326.15610645,171.36582495,145.11358421,304.91498275,69.09316692,88.35396051,1478.40450289
8,224.0897344,23.55871325,246.4390982,27.46099541,0,168.00316425,0,689.55170551
9,93.7633999,0,62.39565842,49.77147762,388.39790215,41.36051338,400.0347317,1035.72368317
10,184.5036083,0,0,0,160.05293837,11.76067755,0,356.31722422
11,0,0,0,443.4661534,48.57282583,0,0,492.03897923
12,0,0,0,0,40.87272785,0,0,40.87272785
13,257.71417774,0,0,0,0,163.02972777,0,420.74390551
14,0,0,0,0,295.4542855,0,0,295.4542855
15,0,0,0,0,119.81804967,57.28141756,0,177.09946723
16,0,0,0,0,0,0,0,0
17,0,0,0,0,126.55571041,0,0,126.55571041
18,0,0,149.3171427,0,0,0,0,149.3171427
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,31.65485004,0,31.65485004
23,0,0,0,0,0,0,88.35396051,88.35396051
24,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,34.92805154,34.92805154
26,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0
32,0,0,0,0,40.23724458,0,0,40.23724458
33,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0
