"purpose","nstops","freq"
"work","1",44932.52675404
"univ","1",6475.38985551
"sch","1",26952.868544268
"esco","1",11194.81596415
"imain","1",26470.3336212
"idisc","1",31346.96884576
"jmain","1",6975.992719709
"jdisc","1",6022.131719469
"atwork","1",4186.92139275
"Total","1",164557.949416856
"work","2",15340.62279052
"univ","2",1642.17591536
"sch","2",5411.74781643
"esco","2",1837.03174058
"imain","2",12799.52097815
"idisc","2",9818.98285839
"jmain","2",3749.86408471
"jdisc","2",2595.88167578
"atwork","2",1669.4394926
"Total","2",54865.26735252
"work","3",8634.75968696
"univ","3",537.13312291
"sch","3",2568.15493196
"esco","3",771.10561593
"imain","3",6438.60124933
"idisc","3",5884.28407973
"jmain","3",1831.92858901
"jdisc","3",1191.56279258
"atwork","3",196.40621472
"Total","3",28053.93628313
"work","4",3643.48349972
"univ","4",159.57863762
"sch","4",904.20585945
"esco","4",552.31591435
"imain","4",2763.20546026
"idisc","4",2407.16060006
"jmain","4",2458.65303143
"jdisc","4",417.7833435
"atwork","4",127.2914782
"Total","4",13433.67782459
"work","5",2246.01014016
"univ","5",198.4155012
"sch","5",641.08884507
"esco","5",438.82234914
"imain","5",2297.07832845
"idisc","5",1584.4285016
"jmain","5",991.37655003
"jdisc","5",270.09831239
"atwork","5",156.30033831
"Total","5",8823.61886635
"work","6",1036.29835034
"univ","6",0
"sch","6",53.25071725
"esco","6",57.94944076
"imain","6",1476.30061081
"idisc","6",827.9283187
"jmain","6",516.76424067
"jdisc","6",165.83708989
"atwork","6",92.52301957
"Total","6",4226.85178799
"work","7",1750.92864315
"univ","7",0
"sch","7",0
"esco","7",74.18198672
"imain","7",1236.816677359
"idisc","7",1344.23242955
"jmain","7",295.7431743
"jdisc","7",114.64244232
"atwork","7",0
"Total","7",4816.545353399
