"","Work_Jackson","University_Jackson","School_Jackson","Work_Josephine","University_Josephine","School_Josephine","Work_Total","University_Total","School_Total"
"1",5464,511,13129,1800,127,3085,7264,638,16214
"2",9726,911,11320,3388,212,3144,13114,1123,14464
"3",9267,874,4657,2948,92,1996,12215,966,6653
"4",9388,471,5640,2588,253,1608,11976,724,7248
"5",6218,321,2991,1634,590,793,7852,911,3784
"6",4654,496,2018,1270,479,905,5924,975,2923
"7",3701,327,926,1000,175,446,4701,502,1372
"8",3495,220,796,1000,112,352,4495,332,1148
"9",3046,149,619,822,102,347,3868,251,966
"10",2268,278,321,645,61,174,2913,339,495
"11",1909,58,354,568,126,265,2477,184,619
"12",2000,139,476,524,107,222,2524,246,698
"13",1751,251,248,409,50,178,2160,301,426
"14",1646,197,168,297,78,147,1943,275,315
"15",1222,88,178,205,56,194,1427,144,372
"16",1129,149,99,127,84,101,1256,233,200
"17",1069,393,108,76,53,102,1145,446,210
"18",741,302,45,43,21,93,784,323,138
"19",661,168,29,35,9,70,696,177,99
"20",497,176,23,35,0,90,532,176,113
"21",613,235,15,29,0,50,642,235,65
"22",654,192,12,23,0,30,677,192,42
"23",423,89,15,25,0,2,448,89,17
"24",385,42,8,32,0,2,417,42,10
"25",297,75,9,81,5,0,378,80,9
"26",230,57,7,76,8,0,306,65,7
"27",179,10,5,116,4,1,295,14,6
"28",203,35,3,153,15,0,356,50,3
"29",164,40,1,210,31,0,374,71,1
"30",117,15,0,246,39,0,363,54,0
"31",126,4,0,297,21,0,423,25,0
"32",115,17,0,300,15,0,415,32,0
"33",119,25,0,287,7,0,406,32,0
"34",69,3,0,187,6,0,256,9,0
"35",75,1,0,163,4,0,238,5,0
"36",41,1,0,178,1,0,219,2,0
"37",44,1,0,146,4,0,190,5,0
"38",28,6,0,94,0,0,122,6,0
"39",23,4,0,81,1,0,104,5,0
"40",24,1,0,65,1,0,89,2,0
"41",121,2,0,407,2,0,528,4,0
