"purpose","stop_purp","freq"
"work","1",0
"univ","1",0
"sch","1",0
"esco","1",0
"imain","1",0
"idisc","1",0
"jmain","1",0
"jdisc","1",0
"atwork","1",0
"Total","1",0
"work","10",1126
"univ","10",0
"sch","10",0
"esco","10",0
"imain","10",0
"idisc","10",0
"jmain","10",0
"jdisc","10",0
"atwork","10",441
"Total","10",1567
"work","2",0
"univ","2",0
"sch","2",0
"esco","2",0
"imain","2",0
"idisc","2",0
"jmain","2",0
"jdisc","2",0
"atwork","2",0
"Total","2",0
"work","3",0
"univ","3",0
"sch","3",0
"esco","3",0
"imain","3",0
"idisc","3",0
"jmain","3",0
"jdisc","3",0
"atwork","3",0
"Total","3",0
"work","4",20374
"univ","4",1299
"sch","4",5865
"esco","4",7486
"imain","4",3775
"idisc","4",2328
"jmain","4",1362
"jdisc","4",618
"atwork","4",112
"Total","4",43219
"work","5",12787
"univ","5",433
"sch","5",1047
"esco","5",4407
"imain","5",18148
"idisc","5",3094
"jmain","5",3074
"jdisc","5",637
"atwork","5",109
"Total","5",43736
"work","6",10525
"univ","6",847
"sch","6",1836
"esco","6",3143
"imain","6",17759
"idisc","6",3129
"jmain","6",2877
"jdisc","6",602
"atwork","6",172
"Total","6",40890
"work","7",8361
"univ","7",292
"sch","7",1106
"esco","7",1380
"imain","7",5953
"idisc","7",1462
"jmain","7",967
"jdisc","7",248
"atwork","7",181
"Total","7",19950
"work","8",4122
"univ","8",247
"sch","8",1460
"esco","8",1052
"imain","8",3348
"idisc","8",1910
"jmain","8",624
"jdisc","8",436
"atwork","8",17
"Total","8",13216
"work","9",3338
"univ","9",230
"sch","9",1885
"esco","9",518
"imain","9",2335
"idisc","9",1399
"jmain","9",399
"jdisc","9",287
"atwork","9",28
"Total","9",10419
