"distbin","PURPOSE","freq"
1,"esco",8952
10,"esco",700
11,"esco",747
12,"esco",702
13,"esco",589
14,"esco",508
15,"esco",431
16,"esco",349
17,"esco",307
18,"esco",188
19,"esco",152
2,"esco",12679
20,"esco",107
21,"esco",84
22,"esco",81
23,"esco",45
24,"esco",51
25,"esco",52
26,"esco",48
27,"esco",38
28,"esco",42
29,"esco",39
3,"esco",8813
30,"esco",41
31,"esco",43
32,"esco",52
33,"esco",59
34,"esco",42
35,"esco",41
36,"esco",34
37,"esco",23
38,"esco",24
39,"esco",26
4,"esco",7796
40,"esco",21
41,"esco",92
5,"esco",3303
6,"esco",2143
7,"esco",1716
8,"esco",1050
9,"esco",950
1,"imain",11361
10,"imain",1489
11,"imain",1405
12,"imain",1437
13,"imain",1357
14,"imain",1071
15,"imain",919
16,"imain",506
17,"imain",355
18,"imain",278
19,"imain",240
2,"imain",13812
20,"imain",218
21,"imain",169
22,"imain",227
23,"imain",151
24,"imain",113
25,"imain",116
26,"imain",99
27,"imain",93
28,"imain",125
29,"imain",125
3,"imain",9602
30,"imain",88
31,"imain",134
32,"imain",144
33,"imain",111
34,"imain",97
35,"imain",103
36,"imain",65
37,"imain",73
38,"imain",53
39,"imain",41
4,"imain",8678
40,"imain",50
41,"imain",250
5,"imain",4466
6,"imain",3271
7,"imain",2908
8,"imain",1902
9,"imain",1851
1,"idisc",5878
10,"idisc",835
11,"idisc",718
12,"idisc",657
13,"idisc",548
14,"idisc",447
15,"idisc",356
16,"idisc",243
17,"idisc",215
18,"idisc",161
19,"idisc",120
2,"idisc",5252
20,"idisc",96
21,"idisc",95
22,"idisc",117
23,"idisc",113
24,"idisc",81
25,"idisc",84
26,"idisc",92
27,"idisc",70
28,"idisc",75
29,"idisc",89
3,"idisc",4470
30,"idisc",75
31,"idisc",79
32,"idisc",72
33,"idisc",96
34,"idisc",74
35,"idisc",93
36,"idisc",59
37,"idisc",54
38,"idisc",46
39,"idisc",46
4,"idisc",3978
40,"idisc",40
41,"idisc",254
5,"idisc",2852
6,"idisc",1936
7,"idisc",1068
8,"idisc",987
9,"idisc",1126
1,"jmain",1928
10,"jmain",302
11,"jmain",254
12,"jmain",276
13,"jmain",246
14,"jmain",212
15,"jmain",169
16,"jmain",118
17,"jmain",67
18,"jmain",44
19,"jmain",34
2,"jmain",2691
20,"jmain",27
21,"jmain",35
22,"jmain",39
23,"jmain",24
24,"jmain",30
25,"jmain",17
26,"jmain",18
27,"jmain",20
28,"jmain",21
29,"jmain",17
3,"jmain",1809
30,"jmain",16
31,"jmain",31
32,"jmain",27
33,"jmain",18
34,"jmain",19
35,"jmain",22
36,"jmain",8
37,"jmain",9
38,"jmain",5
39,"jmain",12
4,"jmain",1669
40,"jmain",15
41,"jmain",41
5,"jmain",894
6,"jmain",579
7,"jmain",535
8,"jmain",362
9,"jmain",337
1,"jdisc",1562
10,"jdisc",280
11,"jdisc",250
12,"jdisc",210
13,"jdisc",154
14,"jdisc",147
15,"jdisc",99
16,"jdisc",70
17,"jdisc",60
18,"jdisc",42
19,"jdisc",33
2,"jdisc",1569
20,"jdisc",27
21,"jdisc",13
22,"jdisc",34
23,"jdisc",18
24,"jdisc",26
25,"jdisc",29
26,"jdisc",19
27,"jdisc",21
28,"jdisc",23
29,"jdisc",25
3,"jdisc",1425
30,"jdisc",21
31,"jdisc",26
32,"jdisc",15
33,"jdisc",24
34,"jdisc",32
35,"jdisc",21
36,"jdisc",13
37,"jdisc",15
38,"jdisc",11
39,"jdisc",9
4,"jdisc",1356
40,"jdisc",11
41,"jdisc",71
5,"jdisc",906
6,"jdisc",643
7,"jdisc",347
8,"jdisc",301
9,"jdisc",376
1,"atwork",2857
10,"atwork",87
11,"atwork",83
12,"atwork",73
13,"atwork",60
14,"atwork",67
15,"atwork",56
16,"atwork",39
17,"atwork",16
18,"atwork",12
19,"atwork",3
2,"atwork",1333
20,"atwork",1
21,"atwork",2
22,"atwork",2
23,"atwork",0
24,"atwork",0
25,"atwork",1
26,"atwork",1
27,"atwork",0
28,"atwork",0
29,"atwork",1
3,"atwork",297
30,"atwork",0
31,"atwork",0
32,"atwork",0
33,"atwork",0
34,"atwork",0
35,"atwork",0
36,"atwork",0
37,"atwork",0
38,"atwork",0
39,"atwork",0
4,"atwork",1125
40,"atwork",0
41,"atwork",0
5,"atwork",490
6,"atwork",216
7,"atwork",152
8,"atwork",124
9,"atwork",101
1,"Total",32538
10,"Total",3693
11,"Total",3457
12,"Total",3355
13,"Total",2954
14,"Total",2452
15,"Total",2030
16,"Total",1325
17,"Total",1020
18,"Total",725
19,"Total",582
2,"Total",37336
20,"Total",476
21,"Total",398
22,"Total",500
23,"Total",351
24,"Total",301
25,"Total",299
26,"Total",277
27,"Total",242
28,"Total",286
29,"Total",296
3,"Total",26416
30,"Total",241
31,"Total",313
32,"Total",310
33,"Total",308
34,"Total",264
35,"Total",280
36,"Total",179
37,"Total",174
38,"Total",139
39,"Total",134
4,"Total",24602
40,"Total",137
41,"Total",708
5,"Total",12911
6,"Total",8788
7,"Total",6726
8,"Total",4726
9,"Total",4741
