"","PERTYPE","TOURPURP","freq"
"1",1,4,8160
"2",1,5,3460
"3",1,6,4953
"4",1,7,62
"5",1,8,1928
"6",1,9,3894
"7",2,4,8095
"8",2,5,3861
"9",2,6,3317
"10",2,7,171
"11",2,8,680
"12",2,9,3901
"13",3,4,4201
"14",3,5,1228
"15",3,6,936
"16",3,7,3
"17",3,8,614
"18",3,9,460
"19",4,4,25696
"20",4,5,13289
"21",4,6,12385
"22",4,7,251
"23",4,8,3033
"24",4,9,4665
"25",5,4,1244
"26",5,5,10802
"27",5,6,13480
"28",5,7,2944
"29",5,8,3222
"30",5,9,3119
"31",6,4,142
"32",6,5,19
"33",6,6,203
"34",6,7,2
"35",6,8,510
"36",6,9,841
"37",7,4,834
"38",7,5,69
"39",7,6,192
"40",7,8,1156
"41",7,9,528
"42",8,4,4788
"43",8,5,2
"44",8,6,1357
"45",8,7,208
"46",8,8,790
"47",8,9,765
